trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
952,09:13:00,09:13:00,37004,12,0,0,6.7125
952,09:15:00,09:15:00,37005,13,0,0,7.2748
952,09:17:00,09:17:00,38229,14,0,0,8.1350
952,09:20:00,09:20:00,42673,15,0,0,9.0369
953,09:10:00,09:10:00,39348,1,0,0,0.0000
953,09:13:00,09:13:00,37378,2,0,0,0.8826
953,09:15:00,09:15:00,37377,3,0,0,1.1756
953,09:17:00,09:17:00,37376,4,0,0,1.5225
953,09:19:00,09:19:00,36994,5,0,0,1.7716
953,09:21:00,09:21:00,36995,6,0,0,2.0661
953,09:23:00,09:23:00,36996,7,0,0,2.4739
953,09:24:00,09:24:00,36997,8,0,0,2.7513
953,09:27:00,09:27:00,36998,9,0,0,3.4326
953,09:30:00,09:30:00,37002,10,0,0,4.8544
953,09:31:00,09:31:00,37003,11,0,0,5.5023
953,09:33:00,09:33:00,37004,12,0,0,6.7125
953,09:35:00,09:35:00,37005,13,0,0,7.2748
953,09:37:00,09:37:00,38229,14,0,0,8.1350
953,09:40:00,09:40:00,42673,15,0,0,9.0369
954,09:18:00,09:18:00,39348,1,0,0,0.0000
954,09:21:00,09:21:00,37378,2,0,0,0.8826
954,09:23:00,09:23:00,37377,3,0,0,1.1756
954,09:25:00,09:25:00,37376,4,0,0,1.5225
954,09:27:00,09:27:00,36994,5,0,0,1.7716
954,09:29:00,09:29:00,36995,6,0,0,2.0661
954,09:31:00,09:31:00,36996,7,0,0,2.4739
954,09:32:00,09:32:00,36997,8,0,0,2.7513
954,09:35:00,09:35:00,36998,9,0,0,3.4326
954,09:38:00,09:38:00,37002,10,0,0,4.8544
954,09:39:00,09:39:00,37003,11,0,0,5.5023
954,09:41:00,09:41:00,37004,12,0,0,6.7125
954,09:43:00,09:43:00,37005,13,0,0,7.2748
954,09:45:00,09:45:00,38229,14,0,0,8.1350
954,09:48:00,09:48:00,42673,15,0,0,9.0369
955,09:29:00,09:29:00,39348,1,0,0,0.0000
955,09:32:00,09:32:00,37378,2,0,0,0.8826
955,09:34:00,09:34:00,37377,3,0,0,1.1756
955,09:36:00,09:36:00,37376,4,0,0,1.5225
955,09:38:00,09:38:00,36994,5,0,0,1.7716
955,09:40:00,09:40:00,36995,6,0,0,2.0661
955,09:42:00,09:42:00,36996,7,0,0,2.4739
955,09:43:00,09:43:00,36997,8,0,0,2.7513
955,09:46:00,09:46:00,36998,9,0,0,3.4326
955,09:49:00,09:49:00,37002,10,0,0,4.8544
955,09:50:00,09:50:00,37003,11,0,0,5.5023
955,09:52:00,09:52:00,37004,12,0,0,6.7125
955,09:54:00,09:54:00,37005,13,0,0,7.2748
955,09:56:00,09:56:00,38229,14,0,0,8.1350
955,09:59:00,09:59:00,42673,15,0,0,9.0369
956,09:50:00,09:50:00,39348,1,0,0,0.0000
956,09:53:00,09:53:00,37378,2,0,0,0.8826
956,09:55:00,09:55:00,37377,3,0,0,1.1756
956,09:57:00,09:57:00,37376,4,0,0,1.5225
956,09:59:00,09:59:00,36994,5,0,0,1.7716
956,10:01:00,10:01:00,36995,6,0,0,2.0661
956,10:03:00,10:03:00,36996,7,0,0,2.4739
956,10:04:00,10:04:00,36997,8,0,0,2.7513
956,10:07:00,10:07:00,36998,9,0,0,3.4326
956,10:10:00,10:10:00,37002,10,0,0,4.8544
956,10:11:00,10:11:00,37003,11,0,0,5.5023
956,10:13:00,10:13:00,37004,12,0,0,6.7125
956,10:15:00,10:15:00,37005,13,0,0,7.2748
956,10:17:00,10:17:00,38229,14,0,0,8.1350
956,10:20:00,10:20:00,42673,15,0,0,9.0369
957,10:00:00,10:00:00,39348,1,0,0,0.0000
957,10:03:00,10:03:00,37378,2,0,0,0.8826
957,10:05:00,10:05:00,37377,3,0,0,1.1756
957,10:07:00,10:07:00,37376,4,0,0,1.5225
957,10:09:00,10:09:00,36994,5,0,0,1.7716
957,10:11:00,10:11:00,36995,6,0,0,2.0661
957,10:13:00,10:13:00,36996,7,0,0,2.4739
957,10:14:00,10:14:00,36997,8,0,0,2.7513
957,10:17:00,10:17:00,36998,9,0,0,3.4326
957,10:20:00,10:20:00,37002,10,0,0,4.8544
957,10:21:00,10:21:00,37003,11,0,0,5.5023
957,10:23:00,10:23:00,37004,12,0,0,6.7125
957,10:25:00,10:25:00,37005,13,0,0,7.2748
957,10:27:00,10:27:00,38229,14,0,0,8.1350
957,10:30:00,10:30:00,42673,15,0,0,9.0369
958,10:10:00,10:10:00,39348,1,0,0,0.0000
958,10:13:00,10:13:00,37378,2,0,0,0.8826
958,10:15:00,10:15:00,37377,3,0,0,1.1756
958,10:17:00,10:17:00,37376,4,0,0,1.5225
